category,planet,house,key,title,keywords,short,summary
planet_in_house,sun,1,sun_house_1,태양 in 1하우스,정체성|주도성|존재감|자기표현,삶의 중심이 자기표현과 존재감의 영역에서 두드러집니다.,태양이 1하우스에 있으면 삶의 중심과 정체성은 자기표현과 존재감의 영역에서 강하게 드러납니다. 스스로 나서고 직접 움직일 때 에너지가 가장 잘 살아납니다.
planet_in_house,sun,2,sun_house_2,태양 in 2하우스,정체성|주도성|존재감|가치,삶의 중심이 가치와 자원을 다루는 영역에서 두드러집니다.,태양이 2하우스에 있으면 삶의 중심과 정체성은 가치와 자원을 다루는 영역에서 강하게 드러납니다. 무엇을 지키고 쌓을지 분명해질수록 안정감이 커집니다.
planet_in_house,sun,3,sun_house_3,태양 in 3하우스,정체성|주도성|존재감|소통,"삶의 중심이 소통과 학습, 일상의 영역에서 두드러집니다.","태양이 3하우스에 있으면 삶의 중심과 정체성은 소통과 학습, 일상의 영역에서 강하게 드러납니다. 가볍게 주고받고 자주 움직일수록 흐름이 좋아집니다."
planet_in_house,sun,4,sun_house_4,태양 in 4하우스,정체성|주도성|존재감|가정,삶의 중심이 가정과 내적 기반의 영역에서 두드러집니다.,태양이 4하우스에 있으면 삶의 중심과 정체성은 가정과 내적 기반의 영역에서 강하게 드러납니다. 밖의 성과보다 안쪽의 안정이 먼저 갖춰질 때 힘이 납니다.
planet_in_house,sun,5,sun_house_5,태양 in 5하우스,정체성|주도성|존재감|창조성,삶의 중심이 창조성과 즐거움의 영역에서 두드러집니다.,태양이 5하우스에 있으면 삶의 중심과 정체성은 창조성과 즐거움의 영역에서 강하게 드러납니다. 재미와 몰입이 살아날수록 자기다움도 함께 선명해집니다.
planet_in_house,sun,6,sun_house_6,태양 in 6하우스,정체성|주도성|존재감|일상관리,삶의 중심이 일상 관리와 실무의 영역에서 두드러집니다.,태양이 6하우스에 있으면 삶의 중심과 정체성은 일상 관리와 실무의 영역에서 강하게 드러납니다. 작은 루틴을 정돈할수록 전체 흐름이 안정됩니다.
planet_in_house,sun,7,sun_house_7,태양 in 7하우스,정체성|주도성|존재감|관계,삶의 중심이 관계와 협력의 영역에서 두드러집니다.,태양이 7하우스에 있으면 삶의 중심과 정체성은 관계와 협력의 영역에서 강하게 드러납니다. 타인과의 조율 속에서 자신에게 필요한 기준도 선명해집니다.
planet_in_house,sun,8,sun_house_8,태양 in 8하우스,정체성|주도성|존재감|심층,삶의 중심이 깊은 교류와 변화의 영역에서 두드러집니다.,태양이 8하우스에 있으면 삶의 중심과 정체성은 깊은 교류와 변화의 영역에서 강하게 드러납니다. 겉으로 넘기지 않고 깊이 다룰수록 전환의 힘이 생깁니다.
planet_in_house,sun,9,sun_house_9,태양 in 9하우스,정체성|주도성|존재감|확장,삶의 중심이 시야 확장과 배움의 영역에서 두드러집니다.,태양이 9하우스에 있으면 삶의 중심과 정체성은 시야 확장과 배움의 영역에서 강하게 드러납니다. 멀리 보고 새로운 관점을 받아들일수록 길이 넓어집니다.
planet_in_house,sun,10,sun_house_10,태양 in 10하우스,정체성|주도성|존재감|커리어,삶의 중심이 사회적 역할과 목표의 영역에서 두드러집니다.,태양이 10하우스에 있으면 삶의 중심과 정체성은 사회적 역할과 목표의 영역에서 강하게 드러납니다. 밖에서 맡은 책임을 다룰수록 방향감이 분명해집니다.
planet_in_house,sun,11,sun_house_11,태양 in 11하우스,정체성|주도성|존재감|네트워크,삶의 중심이 네트워크와 미래 비전의 영역에서 두드러집니다.,태양이 11하우스에 있으면 삶의 중심과 정체성은 네트워크와 미래 비전의 영역에서 강하게 드러납니다. 같은 방향을 보는 사람들과 연결될수록 가능성이 커집니다.
planet_in_house,sun,12,sun_house_12,태양 in 12하우스,정체성|주도성|존재감|내면,삶의 중심이 내면 정리와 회복의 영역에서 두드러집니다.,태양이 12하우스에 있으면 삶의 중심과 정체성은 내면 정리와 회복의 영역에서 강하게 드러납니다. 혼자 정리하고 쉬는 시간이 있어야 흐름이 다시 맑아집니다.
planet_in_house,moon,1,moon_house_1,달 in 1하우스,감정|안정|정서|자기표현,감정의 반응이 자기표현과 존재감의 영역에서 두드러집니다.,달이 1하우스에 있으면 감정과 정서 반응은 자기표현과 존재감의 영역에서 강하게 드러납니다. 스스로 나서고 직접 움직일 때 에너지가 가장 잘 살아납니다.
