category,planet,sign,key,title,keywords,short,summary
planet_in_sign,sun,aries,sun_aries,태양 in 양자리,정체성|주도성|존재감|직진,삶의 중심이 직설적이고 선도적인 방식으로 드러납니다.,태양이 양자리에 있으면 삶의 중심과 정체성은 직설적이고 선도적인 방식으로 표현됩니다. 망설이기보다 직접 시도할 때 감각이 살아납니다.
planet_in_sign,sun,taurus,sun_taurus,태양 in 황소자리,정체성|주도성|존재감|안정,삶의 중심이 안정적이고 꾸준한 방식으로 드러납니다.,태양이 황소자리에 있으면 삶의 중심과 정체성은 안정적이고 꾸준한 방식으로 표현됩니다. 시간을 들여 쌓아 갈수록 힘이 단단해집니다.
planet_in_sign,sun,gemini,sun_gemini,태양 in 쌍둥이자리,정체성|주도성|존재감|호기심,삶의 중심이 가볍고 유연한 방식으로 드러납니다.,태양이 쌍둥이자리에 있으면 삶의 중심과 정체성은 가볍고 유연한 방식으로 표현됩니다. 대화를 나누고 정보를 순환시킬 때 흐름이 좋아집니다.
planet_in_sign,sun,cancer,sun_cancer,태양 in 게자리,정체성|주도성|존재감|보호,삶의 중심이 조심스럽고 보호적인 방식으로 드러납니다.,태양이 게자리에 있으면 삶의 중심과 정체성은 조심스럽고 보호적인 방식으로 표현됩니다. 정서적 기반이 갖춰질수록 힘을 자연스럽게 씁니다.
planet_in_sign,sun,leo,sun_leo,태양 in 사자자리,정체성|주도성|존재감|표현,삶의 중심이 당당하고 표현적인 방식으로 드러납니다.,태양이 사자자리에 있으면 삶의 중심과 정체성은 당당하고 표현적인 방식으로 표현됩니다. 마음을 담아 표현할수록 에너지가 커집니다.
planet_in_sign,sun,virgo,sun_virgo,태양 in 처녀자리,정체성|주도성|존재감|정교함,삶의 중심이 세심하고 실용적인 방식으로 드러납니다.,태양이 처녀자리에 있으면 삶의 중심과 정체성은 세심하고 실용적인 방식으로 표현됩니다. 구체적으로 개선할수록 안정감이 높아집니다.
planet_in_sign,sun,libra,sun_libra,태양 in 천칭자리,정체성|주도성|존재감|균형,삶의 중심이 균형 있고 세련된 방식으로 드러납니다.,태양이 천칭자리에 있으면 삶의 중심과 정체성은 균형 있고 세련된 방식으로 표현됩니다. 관계의 흐름을 다듬을수록 감각이 살아납니다.
planet_in_sign,sun,scorpio,sun_scorpio,태양 in 전갈자리,정체성|주도성|존재감|집중,삶의 중심이 깊고 강하게 몰입하는 방식으로 드러납니다.,태양이 전갈자리에 있으면 삶의 중심과 정체성은 깊고 강하게 몰입하는 방식으로 표현됩니다. 표면을 넘어서 핵심에 닿을 때 힘이 커집니다.
planet_in_sign,sun,sagittarius,sun_sagittarius,태양 in 사수자리,정체성|주도성|존재감|확장,삶의 중심이 넓고 개방적인 방식으로 드러납니다.,태양이 사수자리에 있으면 삶의 중심과 정체성은 넓고 개방적인 방식으로 표현됩니다. 배우고 움직일수록 시야와 에너지가 함께 커집니다.
planet_in_sign,sun,capricorn,sun_capricorn,태양 in 염소자리,정체성|주도성|존재감|책임감,삶의 중심이 현실적이고 구조적인 방식으로 드러납니다.,태양이 염소자리에 있으면 삶의 중심과 정체성은 현실적이고 구조적인 방식으로 표현됩니다. 오래 가는 결과를 만들 때 자신감이 안정됩니다.
planet_in_sign,sun,aquarius,sun_aquarius,태양 in 물병자리,정체성|주도성|존재감|독립성,삶의 중심이 독립적이고 새로운 방식으로 드러납니다.,태양이 물병자리에 있으면 삶의 중심과 정체성은 독립적이고 새로운 방식으로 표현됩니다. 거리감을 확보할수록 더 선명한 판단이 나옵니다.
