category,point,placement_type,placement_value,key,title,keywords,short,summary
node_chiron,node_north,sign,aries,node_north_aries,북노드 in 양자리,성장|확장|방향|주도성,성장 방향이 직설적이고 선도적인 방식으로 드러납니다.,북노드가 양자리에 있으면 성장 방향은 직설적이고 선도적인 방식으로 나타납니다. 낯설더라도 이 방향으로 움직일수록 성장이 커집니다.
node_chiron,node_north,sign,taurus,node_north_taurus,북노드 in 황소자리,성장|확장|방향|안정,성장 방향이 안정적이고 꾸준한 방식으로 드러납니다.,북노드가 황소자리에 있으면 성장 방향은 안정적이고 꾸준한 방식으로 나타납니다. 낯설더라도 이 방향으로 움직일수록 성장이 커집니다.
node_chiron,node_north,sign,gemini,node_north_gemini,북노드 in 쌍둥이자리,성장|확장|방향|호기심,성장 방향이 가볍고 유연한 방식으로 드러납니다.,북노드가 쌍둥이자리에 있으면 성장 방향은 가볍고 유연한 방식으로 나타납니다. 낯설더라도 이 방향으로 움직일수록 성장이 커집니다.
node_chiron,node_north,sign,cancer,node_north_cancer,북노드 in 게자리,성장|확장|방향|보호,성장 방향이 조심스럽고 보호적인 방식으로 드러납니다.,북노드가 게자리에 있으면 성장 방향은 조심스럽고 보호적인 방식으로 나타납니다. 낯설더라도 이 방향으로 움직일수록 성장이 커집니다.
node_chiron,node_north,sign,leo,node_north_leo,북노드 in 사자자리,성장|확장|방향|표현,성장 방향이 당당하고 표현적인 방식으로 드러납니다.,북노드가 사자자리에 있으면 성장 방향은 당당하고 표현적인 방식으로 나타납니다. 낯설더라도 이 방향으로 움직일수록 성장이 커집니다.
node_chiron,node_north,sign,virgo,node_north_virgo,북노드 in 처녀자리,성장|확장|방향|정교함,성장 방향이 세심하고 실용적인 방식으로 드러납니다.,북노드가 처녀자리에 있으면 성장 방향은 세심하고 실용적인 방식으로 나타납니다. 낯설더라도 이 방향으로 움직일수록 성장이 커집니다.
node_chiron,node_north,sign,libra,node_north_libra,북노드 in 천칭자리,성장|확장|방향|균형,성장 방향이 균형 있고 세련된 방식으로 드러납니다.,북노드가 천칭자리에 있으면 성장 방향은 균형 있고 세련된 방식으로 나타납니다. 낯설더라도 이 방향으로 움직일수록 성장이 커집니다.
node_chiron,node_north,sign,scorpio,node_north_scorpio,북노드 in 전갈자리,성장|확장|방향|집중,성장 방향이 깊고 강하게 몰입하는 방식으로 드러납니다.,북노드가 전갈자리에 있으면 성장 방향은 깊고 강하게 몰입하는 방식으로 나타납니다. 낯설더라도 이 방향으로 움직일수록 성장이 커집니다.
node_chiron,node_north,sign,sagittarius,node_north_sagittarius,북노드 in 사수자리,성장|확장|방향|비전,성장 방향이 넓고 개방적인 방식으로 드러납니다.,북노드가 사수자리에 있으면 성장 방향은 넓고 개방적인 방식으로 나타납니다. 낯설더라도 이 방향으로 움직일수록 성장이 커집니다.
node_chiron,node_north,sign,capricorn,node_north_capricorn,북노드 in 염소자리,성장|확장|방향|책임감,성장 방향이 현실적이고 구조적인 방식으로 드러납니다.,북노드가 염소자리에 있으면 성장 방향은 현실적이고 구조적인 방식으로 나타납니다. 낯설더라도 이 방향으로 움직일수록 성장이 커집니다.
node_chiron,node_north,sign,aquarius,node_north_aquarius,북노드 in 물병자리,성장|확장|방향|독립성,성장 방향이 독립적이고 새로운 방식으로 드러납니다.,북노드가 물병자리에 있으면 성장 방향은 독립적이고 새로운 방식으로 나타납니다. 낯설더라도 이 방향으로 움직일수록 성장이 커집니다.
node_chiron,node_north,sign,pisces,node_north_pisces,북노드 in 물고기자리,성장|확장|방향|공감,성장 방향이 유연하고 감응적인 방식으로 드러납니다.,북노드가 물고기자리에 있으면 성장 방향은 유연하고 감응적인 방식으로 나타납니다. 낯설더라도 이 방향으로 움직일수록 성장이 커집니다.
node_chiron,node_north,house,1,node_north_house_1,북노드 in 1하우스,성장|확장|방향|자기표현,성장 방향이 자기표현과 존재감의 영역에서 드러납니다.,북노드가 1하우스에 있으면 성장 방향은 자기표현과 존재감의 영역에서 반복되거나 성장 과제로 떠오릅니다. 낯설더라도 이 방향으로 움직일수록 성장이 커집니다.
node_chiron,node_north,house,2,node_north_house_2,북노드 in 2하우스,성장|확장|방향|가치,성장 방향이 가치와 자원을 다루는 영역에서 드러납니다.,북노드가 2하우스에 있으면 성장 방향은 가치와 자원을 다루는 영역에서 반복되거나 성장 과제로 떠오릅니다. 낯설더라도 이 방향으로 움직일수록 성장이 커집니다.
node_chiron,node_north,house,3,node_north_house_3,북노드 in 3하우스,성장|확장|방향|소통,"성장 방향이 소통과 학습, 일상의 영역에서 드러납니다.","북노드가 3하우스에 있으면 성장 방향은 소통과 학습, 일상의 영역에서 반복되거나 성장 과제로 떠오릅니다. 낯설더라도 이 방향으로 움직일수록 성장이 커집니다."
node_chiron,node_north,house,4,node_north_house_4,북노드 in 4하우스,성장|확장|방향|가정,성장 방향이 가정과 내적 기반의 영역에서 드러납니다.,북노드가 4하우스에 있으면 성장 방향은 가정과 내적 기반의 영역에서 반복되거나 성장 과제로 떠오릅니다. 낯설더라도 이 방향으로 움직일수록 성장이 커집니다.
node_chiron,node_north,house,5,node_north_house_5,북노드 in 5하우스,성장|확장|방향|창조성,성장 방향이 창조성과 즐거움의 영역에서 드러납니다.,북노드가 5하우스에 있으면 성장 방향은 창조성과 즐거움의 영역에서 반복되거나 성장 과제로 떠오릅니다. 낯설더라도 이 방향으로 움직일수록 성장이 커집니다.
node_chiron,node_north,house,6,node_north_house_6,북노드 in 6하우스,성장|확장|방향|일상관리,성장 방향이 일상 관리와 실무의 영역에서 드러납니다.,북노드가 6하우스에 있으면 성장 방향은 일상 관리와 실무의 영역에서 반복되거나 성장 과제로 떠오릅니다. 낯설더라도 이 방향으로 움직일수록 성장이 커집니다.
node_chiron,node_north,house,7,node_north_house_7,북노드 in 7하우스,성장|확장|방향|관계,성장 방향이 관계와 협력의 영역에서 드러납니다.,북노드가 7하우스에 있으면 성장 방향은 관계와 협력의 영역에서 반복되거나 성장 과제로 떠오릅니다. 낯설더라도 이 방향으로 움직일수록 성장이 커집니다.
node_chiron,node_north,house,8,node_north_house_8,북노드 in 8하우스,성장|확장|방향|심층,성장 방향이 깊은 교류와 변화의 영역에서 드러납니다.,북노드가 8하우스에 있으면 성장 방향은 깊은 교류와 변화의 영역에서 반복되거나 성장 과제로 떠오릅니다. 낯설더라도 이 방향으로 움직일수록 성장이 커집니다.
node_chiron,node_north,house,9,node_north_house_9,북노드 in 9하우스,성장|확장|방향|철학,성장 방향이 시야 확장과 배움의 영역에서 드러납니다.,북노드가 9하우스에 있으면 성장 방향은 시야 확장과 배움의 영역에서 반복되거나 성장 과제로 떠오릅니다. 낯설더라도 이 방향으로 움직일수록 성장이 커집니다.
node_chiron,node_north,house,10,node_north_house_10,북노드 in 10하우스,성장|확장|방향|커리어,성장 방향이 사회적 역할과 목표의 영역에서 드러납니다.,북노드가 10하우스에 있으면 성장 방향은 사회적 역할과 목표의 영역에서 반복되거나 성장 과제로 떠오릅니다. 낯설더라도 이 방향으로 움직일수록 성장이 커집니다.
node_chiron,node_north,house,11,node_north_house_11,북노드 in 11하우스,성장|확장|방향|네트워크,성장 방향이 네트워크와 미래 비전의 영역에서 드러납니다.,북노드가 11하우스에 있으면 성장 방향은 네트워크와 미래 비전의 영역에서 반복되거나 성장 과제로 떠오릅니다. 낯설더라도 이 방향으로 움직일수록 성장이 커집니다.
node_chiron,node_north,house,12,node_north_house_12,북노드 in 12하우스,성장|확장|방향|내면,성장 방향이 내면 정리와 회복의 영역에서 드러납니다.,북노드가 12하우스에 있으면 성장 방향은 내면 정리와 회복의 영역에서 반복되거나 성장 과제로 떠오릅니다. 낯설더라도 이 방향으로 움직일수록 성장이 커집니다.
node_chiron,node_south,sign,aries,node_south_aries,남노드 in 양자리,습관|익숙함|반복|주도성,익숙한 패턴이 직설적이고 선도적인 방식으로 드러납니다.,남노드가 양자리에 있으면 익숙한 패턴은 직설적이고 선도적인 방식으로 나타납니다. 익숙해서 편하지만 여기에만 머물면 시야가 좁아질 수 있습니다.
node_chiron,node_south,sign,taurus,node_south_taurus,남노드 in 황소자리,습관|익숙함|반복|안정,익숙한 패턴이 안정적이고 꾸준한 방식으로 드러납니다.,남노드가 황소자리에 있으면 익숙한 패턴은 안정적이고 꾸준한 방식으로 나타납니다. 익숙해서 편하지만 여기에만 머물면 시야가 좁아질 수 있습니다.
node_chiron,node_south,sign,gemini,node_south_gemini,남노드 in 쌍둥이자리,습관|익숙함|반복|호기심,익숙한 패턴이 가볍고 유연한 방식으로 드러납니다.,남노드가 쌍둥이자리에 있으면 익숙한 패턴은 가볍고 유연한 방식으로 나타납니다. 익숙해서 편하지만 여기에만 머물면 시야가 좁아질 수 있습니다.
node_chiron,node_south,sign,cancer,node_south_cancer,남노드 in 게자리,습관|익숙함|반복|보호,익숙한 패턴이 조심스럽고 보호적인 방식으로 드러납니다.,남노드가 게자리에 있으면 익숙한 패턴은 조심스럽고 보호적인 방식으로 나타납니다. 익숙해서 편하지만 여기에만 머물면 시야가 좁아질 수 있습니다.
node_chiron,node_south,sign,leo,node_south_leo,남노드 in 사자자리,습관|익숙함|반복|표현,익숙한 패턴이 당당하고 표현적인 방식으로 드러납니다.,남노드가 사자자리에 있으면 익숙한 패턴은 당당하고 표현적인 방식으로 나타납니다. 익숙해서 편하지만 여기에만 머물면 시야가 좁아질 수 있습니다.
node_chiron,node_south,sign,virgo,node_south_virgo,남노드 in 처녀자리,습관|익숙함|반복|정교함,익숙한 패턴이 세심하고 실용적인 방식으로 드러납니다.,남노드가 처녀자리에 있으면 익숙한 패턴은 세심하고 실용적인 방식으로 나타납니다. 익숙해서 편하지만 여기에만 머물면 시야가 좁아질 수 있습니다.
node_chiron,node_south,sign,libra,node_south_libra,남노드 in 천칭자리,습관|익숙함|반복|균형,익숙한 패턴이 균형 있고 세련된 방식으로 드러납니다.,남노드가 천칭자리에 있으면 익숙한 패턴은 균형 있고 세련된 방식으로 나타납니다. 익숙해서 편하지만 여기에만 머물면 시야가 좁아질 수 있습니다.
node_chiron,node_south,sign,scorpio,node_south_scorpio,남노드 in 전갈자리,습관|익숙함|반복|집중,익숙한 패턴이 깊고 강하게 몰입하는 방식으로 드러납니다.,남노드가 전갈자리에 있으면 익숙한 패턴은 깊고 강하게 몰입하는 방식으로 나타납니다. 익숙해서 편하지만 여기에만 머물면 시야가 좁아질 수 있습니다.
node_chiron,node_south,sign,sagittarius,node_south_sagittarius,남노드 in 사수자리,습관|익숙함|반복|확장,익숙한 패턴이 넓고 개방적인 방식으로 드러납니다.,남노드가 사수자리에 있으면 익숙한 패턴은 넓고 개방적인 방식으로 나타납니다. 익숙해서 편하지만 여기에만 머물면 시야가 좁아질 수 있습니다.
node_chiron,node_south,sign,capricorn,node_south_capricorn,남노드 in 염소자리,습관|익숙함|반복|책임감,익숙한 패턴이 현실적이고 구조적인 방식으로 드러납니다.,남노드가 염소자리에 있으면 익숙한 패턴은 현실적이고 구조적인 방식으로 나타납니다. 익숙해서 편하지만 여기에만 머물면 시야가 좁아질 수 있습니다.
